"","DATE","PRODUCT","EX_REFIN","EXCISE_TAX","M_TAX","OIL_FUND","CONSV_FUND","WHOLESALE","VAT_WS","WS_VAT","MARKETING_MARGIN","VAT_MM","RETAIL","EX_RATE","FILE","DISCOUNT","OIL_FUND_2"
"116",2004-11-17,"L-DIESEL",14.0982,2.405,0.2405,0.5,0.04,12.4138,0.869,13.2828,1.0188,0.0713,14.37,40.5127,"2382_f76a062fe18ccce46769b3bcdf1461e8.xlsx",NA,-4.8699
"117",2004-11-17,"FUEL600 (1) 2%S",9.053,0.5228,0.0523,0.06,0.04,9.7281,0.681,10.4091,2.4022,0.1382,12.98,40.5127,"2382_f76a062fe18ccce46769b3bcdf1461e8.xlsx",NA,0
"118",2004-11-17,"FUEL1500 (2) 2%S",8.1492,0.4684,0.0458,0.06,0.04,8.7644,0.6135,9.3779,2.8443,0.1991,12.42,40.5127,"2382_f76a062fe18ccce46769b3bcdf1461e8.xlsx",NA,0
"119",2004-11-17,"LPG-LARGE(B/KG.)",12.8497,2.17,0.217,-2.7798,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,40.5127,"2382_f76a062fe18ccce46769b3bcdf1461e8.xlsx",NA,0
"120",2004-11-17,"LPG-SMALL(B/KG.)",12.8497,2.17,0.217,-2.7798,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,40.5127,"2382_f76a062fe18ccce46769b3bcdf1461e8.xlsx",NA,0
"121",2004-11-17,"LPG-CARS(B/KG.)",12.8497,2.17,0.217,-2.7798,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,40.5127,"2382_f76a062fe18ccce46769b3bcdf1461e8.xlsx",NA,0
"122",2004-11-22,"ULG 95R ; UNL",13.6515,3.685,0.3685,0.5,0.04,18.245,1.2771,19.5221,1.5588,0.1091,21.19,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"123",2004-11-22,"ULG 91R ; UNL",12.8946,3.685,0.3685,0.3,0.04,17.2881,1.2102,18.4983,1.7679,0.1238,20.39,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"124",2004-11-22,"GASOHOL",13.8895,3.3165,0.3317,0.04,0.036,17.6136,1.233,18.8466,1.863,0.1304,20.84,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"125",2004-11-22,"KEROSENE",14.3568,3.055,0.3055,0.1,0.04,17.8573,1.25,19.1073,3.9222,0.2746,23.3,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"126",2004-11-22,"HDIESEL(0.05%S)",14.8851,2.305,0.2305,0.5,0.04,12.5855,0.881,13.4665,1.05,0.0735,14.59,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,-5.3751
"127",2004-11-22,"L-DIESEL",14.6909,2.405,0.2405,0.5,0.04,12.4138,0.869,13.2828,1.0188,0.0713,14.37,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,-5.4626
